id,title,category,folder,fileName,fileType,version,status,sourcePage,sourceUrl,storageProvider,storageUrl,updatedDate,owner,tags,migrationBatch,notes
WTMS1920-001,แบบฟอร์มขออนุญาตเข้าร่วมอบรม ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-001_แบบฟอร์มขออนุญาตเข้าร่วมอบรม-ปี2569-_word.doc,doc,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTgw&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQAsT5LDwgs4R6XonaXbZKWXAYcizLt4q6UheuySXTW0Wzg?e=4rKqoX,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | doc,wtms-1920-partial-001,source_sha256=c285ecff9d44cb7cdafedc1c366270bb7e62c19628ad365f454da79c66f915a4
WTMS1920-002,แบบฟอร์มรายงานผลการเข้าร่วมอบม ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-002_แบบฟอร์มรายงานผลการเข้าร่วมอบม-ปี256_word.doc,doc,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTc5&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCP4GtUP5MATZ8VviwM0OsYAWe1mdZX7fG2MxQHwoQPckM?e=Ng2R1v,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | doc,wtms-1920-partial-001,source_sha256=10d920fe07df50d65fef8e1ba1e3d73d729b7661a56b36c8076c5a82ded8a73f
WTMS1920-003,แบบฟอร์มรายงานผลการนำความรู้ไปใช้ประโยชน์ในการปฏิบัติงาน ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-003_แบบฟอร์มรายงานผลการนําความรู้ไปใช้ปร_word.doc,doc,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTc4&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQAHTLmfoGrGRr7pJJj0oobrAYrRGH7hQUSNb9QbdH7D_Mw?e=COC3Bv,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | doc,wtms-1920-partial-001,source_sha256=9c856d404021290b153695ad0d07f8267d6130a82c6cd0e8087b9a769990eb4f
WTMS1920-004,[แบบ ป-สน.02] ดาวน์โหลดแบแบบรายงานภาระงานตามข้อตกลงและแบบประเมินผลการปฏิบัติราชการ รอบการประเมินปีงบประมาณ 2563 (ตุลาคม 2563 - กันยายน 2564),admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-004_แบบ-ป-สน-02-ดาวน์โหลดแบแบบรายงานภาระ_word.xls,xls,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,http://personnel.mju.ac.th/edoc/tor/02_assessment_support_2563.xls,onedrive-business,https://maejo365-my.sharepoint.com/:x:/g/personal/researchmju_mju_ac_th/IQCgHnymSemBQoswx1ciznKMAW_ffeMOmESgLMUjmE3wbBk?e=YBYp1G,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | xls,wtms-1920-partial-001,source_sha256=4004ba37fa6bd98a36b808914696493f39543ad28acd37827b827a02a5bc035a
WTMS1920-005,ขออนุมัติเดินทางไปปฏิบัติงาน ณ ต่างประเทศ (และจัดทำ E-Passport และ/หรือ VISA),admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-005_ขออนุมัติเดินทางไปปฏิบัติงาน-ณ-ต่างป_word.docx,docx,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=NjIyOTc2&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCxhT_0Iv1hTbn5jd9PdbprAaf-BZw5BWDJ1UjNEmUXBhc?e=NQgLhz,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | docx,wtms-1920-partial-001,source_sha256=5a7b898bf2dd56ebf8d011516ca916a87c312d87058730208f7c028d44b894d0
WTMS1920-006,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-006_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,docx,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=NjIxNTcx&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCYeHV_7U1jRq6IoabYqf19AVSkF4G7yqhEsytCs0APoPY?e=mflvKO,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | docx,wtms-1920-partial-001,source_sha256=86207a479045f65f711ee95095e72f8072674c24656cf50370de23374fd45292
WTMS1920-007,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-007_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,docx,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=NjIxNTcx&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQB6lLsXC5kJTqHkLEsyILlYAWHSvSr5OXSiHpinlCI_8aw?e=6zrCqp,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | docx,wtms-1920-partial-001,source_sha256=86207a479045f65f711ee95095e72f8072674c24656cf50370de23374fd45292
WTMS1920-008,ใบลาป่วย ลากิจ ลาคลอดบุตร,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-008_ใบลาป่วย-ลากิจ-ลาคลอดบุตร-กิจป่วย2_pdf.pdf,pdf,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=NzkzNDQ0&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDsDI-iRncASK0fyXwg7SlGAd_p0fwRU1htPGa-t0T-eJE?e=6MCNig,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | pdf,wtms-1920-partial-001,source_sha256=9d5c22397a49747f13728dadc4d5ffc84a328eeb333a7f99cc22546c35077d57
WTMS1920-009,ใบลาพักผ่อน,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-009_ใบลาพักผ่อน-พักผ่อน2_pdf.pdf,pdf,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,https://erp.mju.ac.th/openFile.aspx?id=NzkzNDQz&method=inline,onedrive-business,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDvFgOstH_XQoZoaW6e1kPkAWZo_JqCNso5XxQ8XdioQwM?e=ch5HWz,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | pdf,wtms-1920-partial-001,source_sha256=61e85b75a7b2855d19e9fcb73ee9007b5c103c6b8fdd9e6cc9bcb17aef9e1750
WTMS1920-010,ใบยกเลิกวันลา,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-010_ใบยกเลิกวันลา-ยกเลิกลา2_pdf.pdf,pdf,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,http://personnel.mju.ac.th/edoc/forms/26975.pdf,onedrive-business,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDkdT2k3dlqQLDqyF-Rxhl7AZCPuIL53rn2QzRuN5fnViY?e=8YXFQd,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | pdf,wtms-1920-partial-001,source_sha256=c5bd3dc3be956a8e1e8da6f683c68b234adfa8c64124d8855caba376ccba22d8
WTMS1920-011,ใบลาศึกษาต่อ ฝึกอบรม ดูงาน,admin,01-งานบริหารและธุรการ,RAE-DC-WTMS1920-011_ใบลาศึกษาต่อ-ฝึกอบรม-ดูงาน-ลาศึกษาต่_word.doc,doc,1.0,current,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1920,http://personnel.mju.ac.th/edoc/forms/13045.doc,onedrive-business,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQAzff4Db_jWRJa7g_c6cMhWAXGKmDbAIKL4j8sKLDQdGfs?e=Ftcxev,2026-06-17,งานบริหารและธุรการ,wtms-1920 | งานบริหารและธุรการ | แบบฟอร์ม | doc,wtms-1920-partial-001,source_sha256=82fca8463e58e3c6ea2edbef7cdfc2533e1dbb07ec944d31bf07e9b0d7de9184
