id,title,category,target_folder,final_filename,source_url,local_file_path,onedrive_share_url,storage_provider,storage_status,verified_by,verified_at,notes
WTMS1920-001,แบบฟอร์มขออนุญาตเข้าร่วมอบรม ปี2569,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-001_แบบฟอร์มขออนุญาตเข้าร่วมอบรม-ปี2569-_word.doc,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTgw&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-001_แบบฟอร์มขออนุญาตเข้าร่วมอบรม-ปี2569-_word.doc,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQAsT5LDwgs4R6XonaXbZKWXAYcizLt4q6UheuySXTW0Wzg?e=4rKqoX,onedrive-business,pending_upload,,,
WTMS1920-002,แบบฟอร์มรายงานผลการเข้าร่วมอบม ปี2569,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-002_แบบฟอร์มรายงานผลการเข้าร่วมอบม-ปี256_word.doc,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTc5&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-002_แบบฟอร์มรายงานผลการเข้าร่วมอบม-ปี256_word.doc,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCP4GtUP5MATZ8VviwM0OsYAWe1mdZX7fG2MxQHwoQPckM?e=Ng2R1v,onedrive-business,pending_upload,,,
WTMS1920-003,แบบฟอร์มรายงานผลการนำความรู้ไปใช้ประโยชน์ในการปฏิบัติงาน ปี2569,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-003_แบบฟอร์มรายงานผลการนําความรู้ไปใช้ปร_word.doc,https://erp.mju.ac.th/openFile.aspx?id=Nzk4NTc4&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-003_แบบฟอร์มรายงานผลการนําความรู้ไปใช้ปร_word.doc,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQAHTLmfoGrGRr7pJJj0oobrAYrRGH7hQUSNb9QbdH7D_Mw?e=COC3Bv,onedrive-business,pending_upload,,,
WTMS1920-004,[แบบ ป-สน.02] ดาวน์โหลดแบแบบรายงานภาระงานตามข้อตกลงและแบบประเมินผลการปฏิบัติราชการ รอบการประเมินปีงบประมาณ 2563 (ตุลาคม 2563 - กันยายน 2564),admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-004_แบบ-ป-สน-02-ดาวน์โหลดแบแบบรายงานภาระ_word.xls,http://personnel.mju.ac.th/edoc/tor/02_assessment_support_2563.xls,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-004_แบบ-ป-สน-02-ดาวน์โหลดแบแบบรายงานภาระ_word.xls,https://maejo365-my.sharepoint.com/:x:/g/personal/researchmju_mju_ac_th/IQCgHnymSemBQoswx1ciznKMAW_ffeMOmESgLMUjmE3wbBk?e=YBYp1G,onedrive-business,pending_upload,,,
WTMS1920-005,ขออนุมัติเดินทางไปปฏิบัติงาน ณ ต่างประเทศ (และจัดทำ E-Passport และ/หรือ VISA),admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-005_ขออนุมัติเดินทางไปปฏิบัติงาน-ณ-ต่างป_word.docx,https://erp.mju.ac.th/openFile.aspx?id=NjIyOTc2&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-005_ขออนุมัติเดินทางไปปฏิบัติงาน-ณ-ต่างป_word.docx,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCxhT_0Iv1hTbn5jd9PdbprAaf-BZw5BWDJ1UjNEmUXBhc?e=NQgLhz,onedrive-business,pending_upload,,,
WTMS1920-006,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-006_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,https://erp.mju.ac.th/openFile.aspx?id=NjIxNTcx&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-006_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQCYeHV_7U1jRq6IoabYqf19AVSkF4G7yqhEsytCs0APoPY?e=mflvKO,onedrive-business,pending_upload,,,
WTMS1920-007,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-007_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,https://erp.mju.ac.th/openFile.aspx?id=NjIxNTcx&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-007_แบบฟอร์มคําร้องขอหนังสือรับรอง-สําหร_word.docx,https://maejo365-my.sharepoint.com/:w:/g/personal/researchmju_mju_ac_th/IQB6lLsXC5kJTqHkLEsyILlYAWHSvSr5OXSiHpinlCI_8aw?e=6zrCqp,onedrive-business,pending_upload,,,
WTMS1920-008,ใบลาป่วย ลากิจ ลาคลอดบุตร,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-008_ใบลาป่วย-ลากิจ-ลาคลอดบุตร-กิจป่วย2_pdf.pdf,https://erp.mju.ac.th/openFile.aspx?id=NzkzNDQ0&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-008_ใบลาป่วย-ลากิจ-ลาคลอดบุตร-กิจป่วย2_pdf.pdf,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDsDI-iRncASK0fyXwg7SlGAd_p0fwRU1htPGa-t0T-eJE?e=6MCNig,onedrive-business,pending_upload,,,
WTMS1920-009,ใบลาพักผ่อน,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-009_ใบลาพักผ่อน-พักผ่อน2_pdf.pdf,https://erp.mju.ac.th/openFile.aspx?id=NzkzNDQz&method=inline,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-009_ใบลาพักผ่อน-พักผ่อน2_pdf.pdf,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDvFgOstH_XQoZoaW6e1kPkAWZo_JqCNso5XxQ8XdioQwM?e=ch5HWz,onedrive-business,pending_upload,,,
WTMS1920-010,ใบยกเลิกวันลา,admin,RAE-Document-Center/01-งานบริหารและธุรการ,RAE-DC-WTMS1920-010_ใบยกเลิกวันลา-ยกเลิกลา2_pdf.pdf,http://personnel.mju.ac.th/edoc/forms/26975.pdf,G:/CodexSand/downloads/wtms-1920-migration-ready/RAE-DC-WTMS1920-010_ใบยกเลิกวันลา-ยกเลิกลา2_pdf.pdf,https://maejo365-my.sharepoint.com/:b:/g/personal/researchmju_mju_ac_th/IQDkdT2k3dlqQLDqyF-Rxhl7AZCPuIL53rn2QzRuN5fnViY?e=8YXFQd,onedrive-business,pending_upload,,,
