id,url,type,decision,notes,protected,manual_capture,filename,checksum,related_page,operator,timestamp
ASSET-1001-1,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png,asset,keep,,no,no,raw/assets/ASSET-1001-1.png,,PAGE-1001,,
ASSET-1001-2,https://erp.mju.ac.th/images/ribbon-black_68.png,asset,keep,,no,no,raw/assets/ASSET-1001-2.png,,PAGE-1001,,
ASSET-1001-3,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690319095324_957639.png,asset,keep,,no,no,raw/assets/ASSET-1001-3.png,,PAGE-1001,,
ASSET-1001-4,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311101352_474397.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-4.jpg,,PAGE-1001,,
ASSET-1001-5,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311104023_228890.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-5.jpg,,PAGE-1001,,
ASSET-1001-6,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690306101947_370223.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-6.jpg,,PAGE-1001,,
ASSET-1001-7,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690216102413_343759.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-7.jpg,,PAGE-1001,,
ASSET-1001-8,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25621111155137_788895.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-8.jpg,,PAGE-1001,,
ASSET-1001-9,https://rae.mju.ac.th/images/bgB.jpg,asset,keep,,no,no,raw/assets/ASSET-1001-9.jpg,,PAGE-1001,,
ASSET-1001-10,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzU=,asset,keep,,no,no,raw/assets/ASSET-1001-10.aspx?id=ODAxNzU=,,PAGE-1001,,
ASSET-1001-11,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzk=,asset,keep,,no,no,raw/assets/ASSET-1001-11.aspx?id=ODAxNzk=,,PAGE-1001,,
ASSET-1001-12,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzg=,asset,keep,,no,no,raw/assets/ASSET-1001-12.aspx?id=ODAxNzg=,,PAGE-1001,,
ASSET-1001-13,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODY=,asset,keep,,no,no,raw/assets/ASSET-1001-13.aspx?id=NzE5ODY=,,PAGE-1001,,
ASSET-1001-14,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODE=,asset,keep,,no,no,raw/assets/ASSET-1001-14.aspx?id=NzE5ODE=,,PAGE-1001,,
ASSET-1001-15,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODQ=,asset,keep,,no,no,raw/assets/ASSET-1001-15.aspx?id=NzE5ODQ=,,PAGE-1001,,
ASSET-1001-16,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODU2MzU=,asset,keep,,no,no,raw/assets/ASSET-1001-16.aspx?id=ODU2MzU=,,PAGE-1001,,
ASSET-1001-17,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNjg=,asset,keep,,no,no,raw/assets/ASSET-1001-17.aspx?id=ODAxNjg=,,PAGE-1001,,
ASSET-1001-18,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODA3NTU=,asset,keep,,no,no,raw/assets/ASSET-1001-18.aspx?id=ODA3NTU=,,PAGE-1001,,
ASSET-1001-19,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzYzOTQ=,asset,keep,,no,no,raw/assets/ASSET-1001-19.aspx?id=NzYzOTQ=,,PAGE-1001,,
ASSET-1001-20,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODk=,asset,keep,,no,no,raw/assets/ASSET-1001-20.aspx?id=NzE5ODk=,,PAGE-1001,,
ASSET-1001-21,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTI=,asset,keep,,no,no,raw/assets/ASSET-1001-21.aspx?id=NzE5OTI=,,PAGE-1001,,
ASSET-1001-22,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=Nzc0MzI=,asset,keep,,no,no,raw/assets/ASSET-1001-22.aspx?id=Nzc0MzI=,,PAGE-1001,,
ASSET-1001-23,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTM=,asset,keep,,no,no,raw/assets/ASSET-1001-23.aspx?id=NzE5OTM=,,PAGE-1001,,
ASSET-1001-24,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTE=,asset,keep,,no,no,raw/assets/ASSET-1001-24.aspx?id=NzE5OTE=,,PAGE-1001,,
ASSET-1001-25,https://rae.mju.ac.th/placeholder.png,asset,keep,,no,no,raw/assets/ASSET-1001-25.png,,PAGE-1001,,
ASSET-1001-26,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25671008160853_758028.png,asset,keep,,no,no,raw/assets/ASSET-1001-26.png,,PAGE-1001,,
ASSET-1001-27,https://scdn.line-apps.com/n/line_add_friends/btn/th.png,asset,keep,,no,no,raw/assets/ASSET-1001-27.png,,PAGE-1001,,
ASSET-1001-28,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODcwNzU=,asset,keep,,no,no,raw/assets/ASSET-1001-28.aspx?id=ODcwNzU=,,PAGE-1001,,
ASSET-1001-29,https://rae.mju.ac.th/wtms_system/images/logo-wtms.png,asset,keep,,no,no,raw/assets/ASSET-1001-29.png,,PAGE-1001,,
ASSET-1001-30,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092241_879433.pdf,asset,keep,,no,no,raw/assets/ASSET-1001-30.pdf,,PAGE-1001,,
ASSET-1001-31,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25690310092314_430623.pdf,asset,keep,,no,no,raw/assets/ASSET-1001-31.pdf,,PAGE-1001,,
ASSET-1002-1,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png,asset,keep,,no,no,raw/assets/ASSET-1002-1.png,,PAGE-1002,,
ASSET-1002-2,https://erp.mju.ac.th/images/ribbon-black_68.png,asset,keep,,no,no,raw/assets/ASSET-1002-2.png,,PAGE-1002,,
ASSET-1002-3,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690319095324_957639.png,asset,keep,,no,no,raw/assets/ASSET-1002-3.png,,PAGE-1002,,
ASSET-1002-4,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311101352_474397.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-4.jpg,,PAGE-1002,,
ASSET-1002-5,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311104023_228890.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-5.jpg,,PAGE-1002,,
ASSET-1002-6,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690306101947_370223.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-6.jpg,,PAGE-1002,,
ASSET-1002-7,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690216102413_343759.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-7.jpg,,PAGE-1002,,
ASSET-1002-8,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25621111155137_788895.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-8.jpg,,PAGE-1002,,
ASSET-1002-9,https://rae.mju.ac.th/images/bgB.jpg,asset,keep,,no,no,raw/assets/ASSET-1002-9.jpg,,PAGE-1002,,
ASSET-1002-10,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzU=,asset,keep,,no,no,raw/assets/ASSET-1002-10.aspx?id=ODAxNzU=,,PAGE-1002,,
