id,url,type,decision,notes,protected,manual_capture,filename,checksum,priority,section,operator,timestamp,title,menu_label,page_type,assets
PAGE-1008,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2022,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1008.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODQxMjE=;wtms_documentDownload.aspx?id=ODQxMzk=;wtms_documentDownload.aspx?id=ODQxMzY=;wtms_documentDownload.aspx?id=ODQxMzc=;wtms_documentDownload.aspx?id=ODQxNDA=;wtms_documentDownload.aspx?id=ODQxMzg=
PAGE-1013,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2042,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1013.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=MTgzMDE=;wtms_documentDownload.aspx?id=MTgzMDI=;wtms_documentDownload.aspx?id=MTgzMDM=
PAGE-1016,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2463,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1016.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODI2NDQ=;wtms_documentDownload.aspx?id=ODc3OTY=;wtms_documentDownload.aspx?id=ODg1NzY=;wtms_documentDownload.aspx?id=ODQxODk=
PAGE-1017,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2012,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1017.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODI2NDI=;wtms_documentDownload.aspx?id=ODU0NzA=;wtms_documentDownload.aspx?id=ODY5MTQ=;wtms_documentDownload.aspx?id=ODE0MjY=
PAGE-1018,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2013,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1018.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=ODg1NzU=;wtms_documentDownload.aspx?id=ODYxMjQ=;wtms_documentDownload.aspx?id=ODYxMjU=;wtms_documentDownload.aspx?id=ODY5MTM=;wtms_documentDownload.aspx?id=ODU5MDg=
PAGE-1025,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2064,page,keep,auto-classified:download,no,no,raw/pages/PAGE-1025.html,,, ,,,, ,download,images/logo.png;wtms_documentDownload.aspx?id=NDM2NTk=;wtms_documentDownload.aspx?id=NDI2NDA=;wtms_documentDownload.aspx?id=NDI1ODE=;wtms_documentDownload.aspx?id=NDI3NzE=;wtms_documentDownload.aspx?id=NDI2MjI=;wtms_documentDownload.aspx?id=NDI3NzQ=;wtms_documentDownload.aspx?id=NDI2NDE=;wtms_documentDownload.aspx?id=NDI1ODQ=;wtms_documentDownload.aspx?id=NDI4NjI=;wtms_documentDownload.aspx?id=NzE5MTI=;wtms_documentDownload.aspx?id=NDI1ODY=;wtms_documentDownload.aspx?id=NDI3NzI=;wtms_documentDownload.aspx?id=NTQxODc=;wtms_documentDownload.aspx?id=NDI3Nzg=;wtms_documentDownload.aspx?id=NDI2Mzk=;wtms_documentDownload.aspx?id=NDI2MDI=;wtms_documentDownload.aspx?id=NzQ0MDE=
PAGE-1009,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=2387,page,keep,institutional:organization-structure,no,no,raw/pages/PAGE-1009.html,,,about,,,โครงสร้างองค์กร,,about,images/logo.png;wtms_documentDownload.aspx?id=Njg0OTU=
PAGE-1010,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1960,page,keep,institutional:management-structure,no,no,raw/pages/PAGE-1010.html,,,about,,,โครงสร้างการบริหารงาน,,about,images/logo.png;wtms_documentDownload.aspx?id=Njg0OTM=
PAGE-1011,https://rae.mju.ac.th/wtms_webpageDetail.aspx?wID=1908,page,keep,institutional:leadership-structure,no,no,raw/pages/PAGE-1011.html,,,about,,,โครงสร้างผู้บริหาร,,about,images/logo.png;wtms_documentDownload.aspx?id=ODg1NzQ=
PAGE-1006,https://rae.mju.ac.th/wtms_contact.aspx?lang=th-TH,page,keep,,no,no,raw/pages/PAGE-1006.html,,,contact,,,ที่อยู่ติดต่อ,,contact,goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png;https://erp.mju.ac.th/images/ribbon-black_68.png;wtms_system/images/logo-wtms.png
